source,target,film
1025909,3259841,Boogie Nights
1025909,3259843,Boogie Nights
1025909,3260334,Boogie Nights
1025909,3260336,Boogie Nights
1025909,3261436,Boogie Nights
1025909,3261441,Boogie Nights
1025909,3261442,Boogie Nights
1025909,3261443,Boogie Nights
1025909,3261450,Boogie Nights
1025909,3261459,Boogie Nights
1025909,3261943,Boogie Nights
1025909,3261963,Boogie Nights
1025909,3261965,Boogie Nights
1025909,3262928,Boogie Nights
1025909,3262930,Boogie Nights
1025909,3262933,Boogie Nights
1025909,3262952,Boogie Nights
1025909,3262973,Boogie Nights
1025909,3262974,Boogie Nights
1025909,3281496,Boogie Nights
1025909,3281497,Boogie Nights
1025909,3281499,Boogie Nights
1025909,3281508,Boogie Nights
1025909,3281512,Boogie Nights
33017,1025909,Boogie Nights
1025909,3769,Boogie Nights
388569,1025909,Boogie Nights
3905,1025909,Boogie Nights
40468,1025909,Boogie Nights
1025909,40471,Boogie Nights
40481,1025909,Boogie Nights
4171,1025909,Boogie Nights
1025909,41899,Boogie Nights
1025909,42638,Boogie Nights
42746,1025909,Boogie Nights
4492,1025909,Boogie Nights
45297,1025909,Boogie Nights
46921,1025909,Boogie Nights
1025909,4762,Boogie Nights
4764,1025909,Boogie Nights
4766,1025909,Boogie Nights
1025909,4767,Boogie Nights
1025909,4768,Boogie Nights
1025909,4769,Boogie Nights
1025909,4770,Boogie Nights
1025909,4772,Boogie Nights
1025909,51709,Boogie Nights
54428,1025909,Boogie Nights
1025909,548430,Boogie Nights
1025909,554037,Boogie Nights
1025909,577620,Boogie Nights
1025909,58194,Boogie Nights
1025909,587803,Boogie Nights
1025909,59287,Boogie Nights
1025909,59473,Boogie Nights
59874,1025909,Boogie Nights
62590,1025909,Boogie Nights
62849,1025909,Boogie Nights
658,1025909,Boogie Nights
1025909,66490,Boogie Nights
69122,1025909,Boogie Nights
1025909,6940,Boogie Nights
74252,1025909,Boogie Nights
74615,1025909,Boogie Nights
75321,1025909,Boogie Nights
76314,1025909,Boogie Nights
1025909,83087,Boogie Nights
1025909,91081,Boogie Nights
1025909,91086,Boogie Nights
1025909,91088,Boogie Nights
1025909,91091,Boogie Nights
1025909,91093,Boogie Nights
1025909,91133,Boogie Nights
1025909,91147,Boogie Nights
1025909,92490,Boogie Nights
1025909,92500,Boogie Nights
1025909,9349,Boogie Nights
1025909,982374,Boogie Nights
98365,1025909,Boogie Nights
103437,1036299,Boogie Nights
103437,1049324,Boogie Nights
103437,107372,Boogie Nights
10743,103437,Boogie Nights
103437,1093,Boogie Nights
103437,1113494,Boogie Nights
11155,103437,Boogie Nights
1139130,103437,Boogie Nights
103437,11419,Boogie Nights
103437,1191308,Boogie Nights
103437,1227,Boogie Nights
1231,103437,Boogie Nights
103437,1231682,Boogie Nights
1233,103437,Boogie Nights
103437,12775,Boogie Nights
103437,1280234,Boogie Nights
131413,103437,Boogie Nights
132095,103437,Boogie Nights
103437,13223,Boogie Nights
13240,103437,Boogie Nights
103437,1328380,Boogie Nights
103437,1336060,Boogie Nights
103437,1336061,Boogie Nights
1339220,103437,Boogie Nights
103437,1341783,Boogie Nights
103437,1342669,Boogie Nights
103437,1364400,Boogie Nights
103437,1380477,Boogie Nights
138182,103437,Boogie Nights
1383838,103437,Boogie Nights
103437,1389570,Boogie Nights
103437,1391383,Boogie Nights
103437,1393449,Boogie Nights
1397694,103437,Boogie Nights
103437,1400877,Boogie Nights
103437,1406614,Boogie Nights
1411927,103437,Boogie Nights
141573,103437,Boogie Nights
103437,1423989,Boogie Nights
103437,1429530,Boogie Nights
103437,1435655,Boogie Nights
103437,1437861,Boogie Nights
14390,103437,Boogie Nights
103437,1446659,Boogie Nights
103437,1462842,Boogie Nights
103437,1463749,Boogie Nights
103437,1481282,Boogie Nights
1488386,103437,Boogie Nights
103437,1492644,Boogie Nights
103437,1511063,Boogie Nights
103437,1521517,Boogie Nights
103437,1530164,Boogie Nights
103437,1532749,Boogie Nights
1537424,103437,Boogie Nights
103437,15427,Boogie Nights
103437,15428,Boogie Nights
103437,15434,Boogie Nights
103437,1546563,Boogie Nights
103437,1547229,Boogie Nights
103437,1548082,Boogie Nights
103437,1549272,Boogie Nights
103437,1552009,Boogie Nights
103437,1552188,Boogie Nights
103437,1552190,Boogie Nights
103437,1552521,Boogie Nights
103437,1556518,Boogie Nights
157488,103437,Boogie Nights
15800,103437,Boogie Nights
103437,16470,Boogie Nights
103437,1647465,Boogie Nights
16475,103437,Boogie Nights
103437,16500,Boogie Nights
1652791,103437,Boogie Nights
1655495,103437,Boogie Nights
1661084,103437,Boogie Nights
103437,1677824,Boogie Nights
103437,1681360,Boogie Nights
103437,1699153,Boogie Nights
170645,103437,Boogie Nights
1717527,103437,Boogie Nights
1719106,103437,Boogie Nights
103437,1719415,Boogie Nights
103437,1724709,Boogie Nights
103437,173146,Boogie Nights
103437,1732494,Boogie Nights
103437,1733130,Boogie Nights
1734741,103437,Boogie Nights
1741701,103437,Boogie Nights
1748074,103437,Boogie Nights
1748115,103437,Boogie Nights
1748146,103437,Boogie Nights
1748147,103437,Boogie Nights
1748148,103437,Boogie Nights
1748149,103437,Boogie Nights
1748150,103437,Boogie Nights
1748153,103437,Boogie Nights
1748155,103437,Boogie Nights
1748156,103437,Boogie Nights
1748157,103437,Boogie Nights
1748158,103437,Boogie Nights
1748162,103437,Boogie Nights
1748164,103437,Boogie Nights
1748174,103437,Boogie Nights
1748175,103437,Boogie Nights
1748176,103437,Boogie Nights
1748177,103437,Boogie Nights
